Location,Staff Quarter,Table Name,24X7Security,AC,Area,ATM,BED,Cafeteria,Car Parking,Children'splayarea,Club House,Dining Table,Gasconnection,Golf Course,Gymnasium,Hospital,Indoor Games,Intercom,Jogging Track,Landscaped Gardens,Lift Available,Maintenance Staff,Microwave,Multipurpose Room,No. of Bedrooms,Power Backup,Price,Rain Water Harvesting,Refrigerator,Resale,School,Shopping Mall,Sofa,Sports Facility,Swimming Pool,TV,Vaastu Compliant,Wardrobe,Washing Machine,Wifi
Navallur,1,Chennai.csv,1,0,1524,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,3,1,10400000,1,0,0,0,0,0,1,1,0,1,0,0,0
Navallur,1,Chennai.csv,1,0,1525,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,3,1,10500000,1,0,0,0,0,0,1,1,0,1,0,0,0
Iyyappanthangal,0,Chennai.csv,0,0,610,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,3199000,0,0,0,0,0,0,1,1,0,0,0,0,0
Mambakkam,0,Chennai.csv,0,0,1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5700000,0,0,0,0,0,0,0,0,0,0,0,0,0
Mambakkam,0,Chennai.csv,0,0,999,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,5000000,0,0,0,0,0,0,1,1,0,0,0,0,0
Egatoor,0,Chennai.csv,0,0,1298,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,9000000,0,0,0,0,0,0,1,1,0,0,0,0,0
Karapakkam,0,Chennai.csv,0,0,1024,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,6500000,0,0,0,0,0,0,1,1,0,0,0,0,0
Thatchoor,0,Chennai.csv,0,0,690,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,2900000,0,0,0,0,0,0,1,1,0,0,0,0,0
Porur,0,Chennai.csv,0,0,1364,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,3,1,9000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Semmancheri,0,Chennai.csv,0,0,2021,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,4,1,9400000,0,0,0,0,0,0,1,1,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,1443,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,3,1,7000000,0,0,0,0,0,0,1,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5400000,0,0,0,0,0,0,1,0,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1045,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5400000,0,0,0,0,0,0,1,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1045,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,5400000,0,0,0,0,0,0,1,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1045,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5400000,0,0,0,0,0,0,1,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5698000,0,0,0,0,0,0,1,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5700000,0,0,0,0,0,0,1,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1075,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5800000,0,0,0,0,0,0,0,1,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5400000,0,0,0,0,0,0,1,0,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5400000,0,0,0,0,0,0,0,0,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1045,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5450000,0,0,0,0,0,0,0,0,0,0,0,0,0
Maduravoyal,0,Chennai.csv,0,0,1020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,5700000,0,0,0,0,0,0,1,1,0,0,0,0,0
Iyappanthangal,1,Chennai.csv,1,0,2475,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,4,1,17000000,1,0,1,1,1,0,1,1,0,1,0,0,0
Medavakkam,1,Chennai.csv,1,0,1735,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,7700000,1,0,1,0,0,0,1,1,0,1,0,0,0
Pammal,0,Chennai.csv,0,0,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3270000,0,0,0,0,0,0,0,0,0,0,0,0,0
Pammal,0,Chennai.csv,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2760000,0,0,0,0,0,0,0,0,0,0,0,0,0
Virugambakkam,0,Chennai.csv,1,0,1704,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,3,1,16399999,1,0,0,1,1,0,0,1,0,0,0,0,0
Virugambakkam,0,Chennai.csv,1,0,1464,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,3,1,14000000,1,0,0,1,1,0,0,1,0,0,0,0,0
Virugambakkam,0,Chennai.csv,1,0,1464,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,3,1,14000000,1,0,0,1,1,0,0,1,0,0,0,0,0
Peerakankaranai,0,Chennai.csv,0,0,1546,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,8300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Peerakankaranai,0,Chennai.csv,0,0,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,6100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Peerakankaranai,0,Chennai.csv,0,0,1066,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Peerakankaranai,0,Chennai.csv,0,0,984,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0
Peerakankaranai,0,Chennai.csv,0,0,947,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5400000,0,0,0,0,0,0,0,0,0,0,0,0,0
Peerakankaranai,0,Chennai.csv,0,0,1228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,6700000,0,0,0,0,0,0,0,0,0,0,0,0,0
Moolakadai,0,Chennai.csv,0,0,1301,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1,9000000,0,0,0,0,0,0,1,1,0,0,0,0,0
Kelambakkam,0,Chennai.csv,1,0,1367,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,2,1,6000000,1,0,0,1,0,0,1,1,0,0,0,0,0
Poonamallee,0,Chennai.csv,0,0,1740,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,3,0,10300000,0,0,0,0,0,0,1,1,0,0,0,0,0
Poonamallee,0,Chennai.csv,0,0,1740,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,10300000,0,0,0,0,0,0,1,1,0,0,0,0,0
Poonamallee,0,Chennai.csv,0,0,1500,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,8700000,0,0,0,0,0,0,1,1,0,0,0,0,0
Poonamallee,0,Chennai.csv,0,0,1335,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,7800000,0,0,0,0,0,0,1,1,0,0,0,0,0
Iyappanthangal,1,Chennai.csv,1,0,1825,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,3,1,13500000,1,0,1,1,1,0,0,1,0,1,0,0,0
Navallur,0,Chennai.csv,1,0,2150,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,17000000,1,0,1,1,0,0,1,1,0,1,0,0,0
Navallur,0,Chennai.csv,1,0,1749,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,2,1,10500000,0,0,1,0,0,0,1,1,0,0,0,0,0
Navallur,1,Chennai.csv,1,0,1749,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,2,1,11500000,1,0,1,0,0,0,1,1,0,1,0,0,0
Navallur,0,Chennai.csv,1,1,2451,0,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,3,1,17000000,0,0,1,0,0,0,1,1,0,0,0,0,0
Navallur,1,Chennai.csv,1,0,1295,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,2,1,7700000,1,0,1,0,0,0,1,1,0,1,0,0,0
Navallur,1,Chennai.csv,1,0,1445,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,10000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Navallur,0,Chennai.csv,1,0,1435,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,11000000,1,0,1,1,0,0,1,1,0,1,0,0,0
Navallur,0,Chennai.csv,1,0,3487,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,3,1,30000000,0,0,1,0,0,0,1,1,0,0,0,0,0
Siruseri,0,Chennai.csv,0,0,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7500000,0,0,1,0,0,0,0,0,0,0,0,0,0
Sunnambu Kolathur S Kolathur,0,Chennai.csv,0,0,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,8100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnambu Kolathur S Kolathur,0,Chennai.csv,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,5300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnambu Kolathur S Kolathur,0,Chennai.csv,0,0,910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunnambu Kolathur S Kolathur,0,Chennai.csv,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Perungudi,0,Chennai.csv,1,0,1888,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,15000000,0,0,0,0,0,0,1,1,0,0,0,0,0
Perungudi,0,Chennai.csv,1,0,1665,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,13500000,0,0,0,0,0,0,1,1,0,0,0,0,0
Perungudi,0,Chennai.csv,1,0,1434,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,2,1,11500000,0,0,0,0,0,0,0,1,0,0,0,0,0
Perungudi,0,Chennai.csv,1,0,1434,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,2,1,11500000,0,0,0,0,0,0,1,1,0,0,0,0,0
Thoraipakkam OMR,1,Chennai.csv,1,0,1850,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,3,1,13000000,1,0,1,0,0,0,1,1,0,1,0,0,0
Thoraipakkam OMR,0,Chennai.csv,1,0,1671,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,3,1,10300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoraipakkam OMR,0,Chennai.csv,1,0,1286,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,2,1,7900000,0,0,0,0,0,0,0,0,0,0,0,0,0
Velappanchavadi,0,Chennai.csv,0,0,1112,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,6500000,0,0,0,0,0,0,0,1,0,1,0,0,0
Velappanchavadi,0,Chennai.csv,0,0,1414,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,9200000,0,0,0,0,0,0,0,1,0,1,0,0,0
Velappanchavadi,0,Chennai.csv,0,0,1414,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,3,1,9200000,0,0,0,0,0,0,0,1,0,1,0,0,0
Thoraipakkam OMR,0,Chennai.csv,1,0,1827,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,4,1,11299999,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanmangalam,0,Chennai.csv,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3386999,0,0,0,0,0,0,0,0,0,0,0,0,0
Nanmangalam,0,Chennai.csv,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3192000,0,0,0,0,0,0,0,0,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2725000,0,0,0,0,0,0,0,0,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Perumbakkam,0,Chennai.csv,0,0,949,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,4500000,1,0,0,0,0,0,0,0,0,1,0,0,0
Perumbakkam,0,Chennai.csv,0,0,901,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,4000000,1,0,0,0,0,0,0,0,0,1,0,0,0
Semmancheri,0,Chennai.csv,0,0,1120,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6600000,0,0,0,0,0,0,0,0,0,0,0,0,0
Semmancheri,0,Chennai.csv,0,0,1065,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Semmancheri,0,Chennai.csv,0,0,1070,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6400000,0,0,0,0,0,0,0,0,0,0,0,0,0
T Nagar,0,Chennai.csv,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9900000,0,0,1,0,0,0,0,0,0,0,0,0,0
Ekkatuthangal,0,Chennai.csv,0,0,980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,7600000,0,0,1,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6600000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,1110,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6600000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,1060,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,980,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,5900000,0,0,0,0,0,0,0,0,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2725000,0,0,0,0,0,0,0,0,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,645,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,1,1,0,0,0,0,0
Avadi,0,Chennai.csv,0,0,639,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,2725000,0,0,0,0,0,0,1,1,0,0,0,0,0
Nungambakkam,0,Chennai.csv,0,0,7240,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,5,1,190000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Nungambakkam,0,Chennai.csv,0,0,5777,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,5,1,150000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Nungambakkam,0,Chennai.csv,0,0,3800,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,0,90000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Nungambakkam,0,Chennai.csv,0,0,3800,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4,1,90000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Perambur,0,Chennai.csv,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamalia,0,Chennai.csv,0,0,657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4800000,0,0,0,0,0,0,0,0,0,0,0,0,0
Royapettah,0,Chennai.csv,1,0,6500,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,5,1,127000000,1,0,0,0,0,0,0,1,0,0,0,0,0
Royapettah,0,Chennai.csv,1,0,2958,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,4,1,57500000,1,0,0,0,0,0,0,1,0,0,0,0,0
Royapettah,0,Chennai.csv,1,0,1200,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,2,1,23000000,1,0,0,0,0,0,0,1,0,0,0,0,0
Royapettah,0,Chennai.csv,1,0,600,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,11500000,1,0,0,0,0,0,1,1,0,0,0,0,0
Perumbakkam,0,Chennai.csv,0,0,949,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,4500000,1,0,0,0,0,0,0,0,0,1,0,0,0
Perumbakkam,0,Chennai.csv,0,0,949,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,4500000,1,0,0,0,0,0,0,0,0,1,0,0,0
Perumbakkam,0,Chennai.csv,0,0,901,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,4200000,1,0,0,0,0,0,0,0,0,1,0,0,0
Urapakkam,0,Chennai.csv,0,0,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0
Urapakkam,0,Chennai.csv,0,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3200000,0,0,0,0,0,0,0,0,0,0,0,0,0
Urapakkam,0,Chennai.csv,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2900000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,1060,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6300000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,980,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,5900000,0,0,0,0,0,0,0,0,0,0,0,0,0
Iyappanthangal,0,Chennai.csv,0,0,1187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7400000,0,0,0,0,0,0,0,0,0,0,0,0,0
Iyappanthangal,0,Chennai.csv,0,0,545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0
Iyappanthangal,0,Chennai.csv,0,0,545,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3400000,0,0,0,0,0,0,0,0,0,0,0,0,0
Nandanam,0,Chennai.csv,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8500000,0,0,1,0,0,0,0,0,1,0,0,0,0
T Nagar,0,Chennai.csv,0,0,1624,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,1,32000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Anna Nagar,0,Chennai.csv,0,0,1161,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,15600000,0,0,0,0,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,1,0,1796,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,3,1,11200000,1,0,1,1,1,0,0,1,0,0,0,0,0
Sholinganallur,0,Chennai.csv,1,1,1796,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,3,1,11200000,1,1,1,1,1,1,0,1,1,0,0,1,0
Madipakkam,0,Chennai.csv,0,0,1480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,7700000,0,0,0,0,0,0,0,0,0,0,0,0,0
Madipakkam,0,Chennai.csv,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Madipakkam,0,Chennai.csv,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3100000,0,0,0,0,0,0,0,0,0,0,0,0,0
Avadi,0,Chennai.csv,1,0,700,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,1,2500000,0,0,0,1,0,0,0,0,0,0,0,0,0
Kovur,0,Chennai.csv,1,0,614,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,3069000,1,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,1,0,700,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,1,2500000,0,0,0,1,0,0,0,0,0,0,0,0,0
Kovur,0,Chennai.csv,1,0,614,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,3069000,1,0,0,0,0,0,0,1,0,0,0,0,0
Avadi,0,Chennai.csv,1,0,700,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,1,2500000,0,0,0,1,0,0,0,0,0,0,0,0,0
Sholinganallur,0,Chennai.csv,0,0,1140,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,6750000,0,0,0,0,0,0,0,0,0,0,0,0,0
